category,text
talk.politics.mideast,"
How do you define war?  Do seiges and constant attacks on villiages
count as acts of war, or is that only when the Jews do them?
January, 1948: Arab Liberation Army attacks Kfar Szold
               1000 men attack Kfar Etzion, 14 miles south of Jerusalem,
                    after cutting off the supply lines to it.
Attacks on Yehiam (Western Galilee) and kibbutz Tirat Tzvi.
By Mid-March, The Jewish settlements in the Negev had been cut off from
      land links with the rest of the Jewish population.
         The Etzion group of villiages, near Hebron, had been cut off,
            while 42 members of a convoy trying to supply Yehiam were
            slaughtered, cutting off the villiage.
Jerusalem was under seige, being cut off from its supply route from
     Tel Aviv (the bombed out supply trucks have been left on the side
     of that road to this day in memoriam).  By this time, 1200 Jews 
     had been killed.

Of course, this isn't war, since it's only the Arabs attacking.
Just like last week when the Fatah launched Katyusha rockets
against Northern israel.  Where does uprising end and war begin?
Will it still be 'Intifadah' when the PLO brings in tanks?


"
talk.politics.misc,"
Once again, it appears that the one-eyed man has appeared in the land of the sighted
and for some strange resaon has appointed himself the ruler and supreme power."
rec.sport.hockey,"
Funny you should mention this; one time on HNIC Don Cherry pointed out
Vanbiesbrouck's mask.  He _hated_ it.  I think he said something to the effect
of:
""You see?  He was great last year; now he goes out and gets that dopey mask 
and he can't stop a beachball!""

You may or may not take Cherry seriously at all, but I cracked up when I heard
it."
rec.motorcycles,"Oh boy, a little K-bike versus /2 scuffling? Grow up! And that goes for
the both of you!

I do hope that the ""dump dempster"" campaign works however.
I think that he is a crook, and I am suprised that it has taken this long
for anything to be done (though obviously, it ain't over yet)
On the other hand, 
I'm not sure that I want to be in bed with ANY of the wackos running.
Throwing $20.oo down a rathole might be more effective than sending it in
to the club. You wouldn't get anything, but you don't get anything now.

The magazine you say? Ever since the MOA politburo installed Don it has
lacked any sort of panache it may have had. 

Ah, but what would I know? I own a /6 AND a K-bike
"
sci.crypt,"
I agree with this assessment.  Furthermore, its promotion as
providing greater protection than bare voice is quite true, as far
as it goes.  However, the only way for it to fulfill its stated goal
of letting LE wiretap ""terrorists and drug dealers"" is to restrict
stronger techniques.  

Wiretap targets presently use strong encryption, weak encryption, or
(the vast majority) no encryption.  The latter two classes can be
tapped.  With weak encryption in every phone, the no-encryption
class is merged into the weak-encryption class.  Will the
introduction of Clipper cause targets presently enjoying strong
privacy to give up on it?  that is, to rely for privacy on a system
expressly designed to deny it to people like them?  I doubt it.  The
mere introduction of this scheme will give the government *nothing*.

The stated goal of preventing the degradation of wiretapping
capabilities can be fulfilled by restriction of domestic
cryptography, and only by this restriction.  ""Clipper"" appears to be
no more than a sop, given to the public to mute any complaints.  We
would find this a grossly inadequate tradeoff, but I fear the public
at large will not care.  I hate to even mention gun control, but
most people seem to think that an `assault weapon' (as the NYT uses
the word) is some sort of automatic weapon, .50 caliber maybe.  Who
wants to have such a thing legal?  Well, people know even less about
cryptology; I suspect that strong cryptography could easily be
labeled ""too much secrecy for law-abiding citizens to need"".


What they say is opinion, but what they do is what matters, and will
continue unless overturned.  And the courts are reluctant to annul
law or regulation, going to some length to decide cases on other
grounds.  Furthermore, Congress can get away with quite a bit.  They
could levy a burdensome tax; this would place enforcement in the
hands of the BATF, who as we've seen you really don't want on your
case.  They could invoke the Commerce Clause; this seems most
likely.  This clause will get you anywhere these days.  The 18th was
required because the Supreme Court ruled a prohibitory statute
unconstitutional.  In 1970 Congress prohibited many drugs, with a
textual nod to the Commerce Clause.  The Controlled Substances
Act of 1970 still stands.  I think the government could get away
with it.
"
rec.motorcycles,"
	The word is ""subrogation.""  Seems to me, if you're willing to wait
for the money from scumbag's insurance, that you save having to pay the
deductible.  However, if scumbag's insurance is Scum insurance, then you may
have to pay the deductible to get your insurance co.'s pack of rabid, large-
fanged lawyers to recover the damages from Scum insurance's lawyers.

	Sad, but true.  Call it job security for lawyers.

Later,"
talk.politics.guns,"/ iftccu:talk.politics.guns / vincent@cad.gatech.edu (Vincent Fox) / 10:34 am  Apr 14, 1993 /

This isn't rec.guns, so maybe this is getting a bet technical, but I
can't resist....


Sometimes.....  Depends on WHY it misfired....


I can't imagine doing much combat type shooting single action.....


Assuming the cylinder WILL rotate....


Never hurts to err on the side of safety, but if you've got one of those
'new fangled' hammer blocks or transfer bar safeties, it's unnecessarily
redundant.  I'd rather have the extra round.


Quite true.  Speed loaders are a little less convenient to pack around
than magazines though.


True, but this is a training function.


Cocked and locked for single actions or hammer down on double actions
are the only carry modes that make sense...  The 80 series Colt's for
example are quite safe to carry this way.


Agreed.

Now that I've shot off my mouth a bit, let me back some of this up.  It
is true that a simple misfire on a revolver doesn't cost you much.  On
the other hand, I've had all sorts of interesting things happen over the
years.  For example, I've had FACTORY ammunition that has had high
primers.  A high primer will tie your revolver up somewhere from seconds
to minutes while you try to pound the action open to clear the problem.
An auto?  Jack the slide and continue.

I've had bullets come out of the case, keeping the cylinder from
turning, see clearing paragraph above.  About the WORST that can happen
with a semi auto is a double feed.  This can be cleared in seconds.

Most revolvers are more 'fragile' then semi auto's.  There are all sorts
of close tolerance parts and fitting involved.  Dropping the gun, or a
blow to the gun or all sorts of things can take it out of action.  Many
of the problems that can be cured on the spot with a (quality) semi auto
take a gun smith for a revolver.  In short a revolver MAY be less likely
to malfunction, but as a rule when it does, you're out of the fight.
The majority of malfunctions that occur with semi autos does not fall
into that category.

Vincint makes many good points in this post, but leaves off the opposing
view of most of them.  A real good starting place is Ayoob's ""The Semi
Auto Pistol for Police and Self Defense.""

In general, I'd agree, the revolver is an excellent first gun and self
defense weapon for somebody that does not have the time, and inclination
that is necessary for the training and practice needed to use a semi
auto effectively as a self defense arm.

Most cops are notoriously indifferent to firearms.  If the department
isn't going to train them, they aren't going to take the time on their
own.  There is no doubt that training is an issue.  The amount of
training required for effective use of a semi auto is probably several
times that of a revolver.  Many cops don't bother.

For myself, I'd hate to be limited to one or the other.  I'd rather pick
what fits better with my personal inclination, what I'm wearing that day
and so on.  Like the Moderator on rec.guns says, buy em all!

That said, I have to admit that often my advice to people thinking of
buying their first defense arm is (right after taking a class) get a
Ruger or Smith revolver....  (Sorry Colt fans.  Colt revolvers are ok
too!)

If this post had gone the other way, I'd be arguing for revolvers. :-)"
rec.sport.baseball," 



Ted, you're missing a vital point.  As Roger Lustig pointed out in a
previous response, the reason why Schott was banned from baseball was
because she had been known to call and think in a racially biased manner on
a constant basis.  Such thoughts affected her hiring practices.  Bonilla,
on the other hand, was found to have mentioned this one word a single time.
 If he had been known to go around, criticizing homosexuals, it would be a
different story.  Furthermore, he is merely an athlete.  He doesn't have to
hire anyone as Schott had to do.  Dave Pallone, the former NL umpire who is
an admitted homosexual, has decided to assist in a protest before a Mets
game at Shea.  He, like you, thinks that Bonilla should be suspended from
baseball.  Pallone is hoping for a year's suspension.  In my opinion,
that's downright ludicrous.  As Howie Rose on WFAN said, if you start
suspending athletes who have mentioned a derogatory word even a single time
under whatever conditions, then you'd probably have enough people remaining
to play a three-on-three game.  Now, honestly, if you truly analyze the
differences between the two cases that you bring up in your article, I
would think that you'd reconsider your thoughts.


                                    -Sean

"
comp.sys.mac.hardware,"Well I am using The Home Office. I bought it for arounde $350.
It does 14.4. I don't know if it's for data or fax. But the
feature I use is the Voic Mail Box, which I really have liked.

---

"
comp.sys.ibm.pc.hardware,Western Digital 1-800-832-4778.....Sam
rec.sport.baseball,"For the second straight game, California scored a ton of late runs to crush
the Brewhas. It was six runs in the 8th for a 12-5 win Monday and five in
the 8th and six in the 9th for a 12-2 win yesterday. Jamie Navarro pitched
seven strong innings, but Orosco, Austin, Manzanillo and Lloyd all took part
in the mockery of a bullpen yesterday. How's this for numbers? Maldanado has
pitched three scoreless innings and Navarro's ERA is 0.75. The next lowest
on the staff is Wegman at 5.14. Ouch!

It doesn't look much better for the hitters. Hamilton is batting .481, while
Thon is hitting .458 and has seven RBI. The next highest is three. The next
best hitter is Jaha at .267 and then Vaughn, who has the team's only HR, at
.238. Another ouch. Looking at the stats, it's not hard to see why the team
is 2-5. In fact, 2-5 doesn't sound bad when you're averaging three runs/game
and giving up 6.6/game. 

Still, it's early and things will undoubtedly get better. The offense should
come around, but the bullpen is a major worry. Fetters, Plesac and Austin gave
the Brewers great middle relief last year. Lloyd, Maldanado, Manzanillo, 
Fetters, Austin and Orosco will have to pick up the pace for the team to be
successful. Milwaukee won a number of games last year when middle relief either
held small leads or kept small deficits in place. The starters will be okay,
the defense will be alright and the hitting will come around, but the bullpen
is a big question mark.

In other news, Nilsson and Doran were reactivated yesterday, while William
Suero was sent down and Tim McIntosh was picked up by Montreal. Today's game
with California was cancelled."
rec.sport.baseball,"
: In any case, I think Viola would have made a better signing.  Why?
: Viola is younger, and is left handed (how many left handed starters does
: Toronto have?

Well, I agree that Viola is a better signing.  However, why does
everyone say that you want lefthanded starters?  I understand lefthanded
spot relievers, even though they usually face more righthanded batters
than lefthanded batters.  I just don't understand why people insist
on lefthanded starters, unless there is a park effect (e.g., Yankee Stadium).
Most batters in MLB are righthanded, so righthanded starters will have
the platoon advantage more often than lefthanded starters.
I guess one argument for lefty starters is that certain teams
may be more vulnerable to LHP's than RHP's.  However, this is probably
only a factor in the postseason, because teams seldom juggle their starters
for this reason during the regular season.

I think you just want the best starters you can get, regardless of
whether they are lefties or righties.  Lefthanded starters tend to have
higher ERA's than righthanded starters, precisely because managers
go out of their way to start inferior lefties (or perhaps because of
the platoon advantage).

Am I missing something here?"
comp.sys.mac.hardware,"Of course, if you want to check the honesty of your dealler, take it in
knowing what's wrong, and ask them to tell you. :)

Of course he'll probably know right a way, then charge you a $20 service
fee. :)"
comp.sys.mac.hardware,"Is there a Wyse 60 Terminal Emulator or a comms toolbox kit available on the
net somewhere?

Thanks."
rec.motorcycles,"



Easy Rider (harleys, drugs, rednecks, New Orleans), Mad Max (violence, DoD 
wanna-be's), Time Rider (Honda Thumper, Time travel), On Any Sunday 
(Documentary about dirtbike racers, GREAT!), The (Great?) Escape (Steve 
Mcqueen, Nazis), Rebel Without a Cause (James Dean, future DoD'ers).  I 
think the last two are right, they are OLD movies I haven't seen in YEARS. 
 ----===== DoD #8177 = Technician(Dr. Speed) .NOT. Student =====----"
sci.electronics,"The subject line says it all. I'm working on a project
that will use a car battery. I need to pull off 3V and possibly
48V at 3A.

I have several ideas, but I'd prefer to benefit from all you
brilliant people :-)"
sci.space,"Pat sez;

Yeah, but a windscreen cut down most of it.  Canopies ended it completely.

Of course, the environment in space continues to suck :-)

-Tommy Mac
-------------------------------------------------------------------------
Tom McWilliams 517-355-2178 wk   \\ As the radius of vision increases,
18084tm@ibm.cl.msu.edu 336-9591 hm \\ the circumference of mystery grows."
comp.windows.x,"I am trying to write an image display program that uses
the MIT shared memory extension.  The shared memory segment
gets allocated and attached to the process with no problem.
But the program crashes at the first call to XShmPutImage,
with the following message:

X Error of failed request:  BadShmSeg (invalid shared segment parameter)
  Major opcode of failed request:  133 (MIT-SHM)
  Minor opcode of failed request:  3 (X_ShmPutImage)
  Segment id in failed request 0x0
  Serial number of failed request:  741
  Current serial number in output stream:  742

Like I said, I did error checking on all the calls to shmget
and shmat that are necessary to create the shared memory
segment, as well as checking XShmAttach.  There are no
problems.

If anybody has had the same problem or has used MIT-SHM without
having the same problem, please let me know.

By the way, I am running OpenWindows 3.0 on a Sun Sparc2."
soc.religion.christian,"I have been following this thread on talk.religion,
soc.religion.christian.bible-study and here with interest.  I am amazed at
the different non-biblical argument those who oppose the Sabbath present. 

One question comes to mind, especially since my last one was not answered
from Scripture.  Maybe clh may wish to provide the first response.

There is a lot of talk about the Sabbath of the TC being ceremonial. 
Answer this:

Since the TC commandments is one law with ten parts on what biblical
basis have you decided that only the Sabbath portion is ceremonial?
OR You say that the seventh-day is the Sabbath but not applicable to
Gentile Christians.  Does that mean the Sabbath commandment has been
annulled?  References please.

If God did not intend His requirements on the Jews to be applicable to
Gentile Christians why did He make it plain that the Gentiles were now
grafted into the commonwealth of Israel?

Darius"
comp.os.ms-windows.misc,"Hi ... can anyone tell me where I can get a copy of updated Canon BJ-200
printer driver for Windows 3.1, if any ? I have ver 1.0 which comes with
my BJ-200 printer, I just wonder if there is any newer version."
sci.med,"
Herman, I would think you of all people would/could distinguish
between ""health"" and ""treatment of disease."" All the prevention
medicine people preach this all the time. You cannot buy health.
You can buy treatment of disease, assuming you are lucky enough
to have a disease which can be treated. A rich person with a
terminal disease is a bit out of luck. There is no such thing
as ""adequately covered"" and there never will be. 

And for what it's worth, I'll be the first to admit that all my
patients die."
talk.politics.mideast,"

That's why zoologists refer to you as a 'fecal shield'. Colonel Semen 
M. Budienny, a subsequent Soviet military fame, said about the 
Armenian genocide of 2.5 million defenseless Turkish and Kurdish 
women, children and elderly people during his visit to Anatolia 
in June 1919 that

""the Armenians had become troublemakers, their Hinchakist
 and Dashnakist parties were opportunist, serving as lackeys
 of whatever power happened to be ascendent.""

In September 16, 1920, Major General W. Thwaites, Director of
Military Intelligence, wrote to Lord Hardinge, Under-Secretary
of State for Foreign Affairs:

""...it is useless to pretend that the Armenians are satisfactory
 allies, or deserving of all the sympathy to which they claim.""[1]

[1] F.O. 331/3411/158288.

In the Special Collection at Stanford Hoover Library, donated by
Georgia Cutler, the letter dated Nov. 1, 1943 states that

""Prescot Hall wrote a large volume to prove that Armenians were
 not and never could be desirable citizens, that they would 
 always be unscrupulous merchants.""


Source: Documents: Volume I (1919).
        ""Document No: 50,"" Archive No: 4/3621, Cabin No: 162, Drawer 
        No: 5, File No: 2905, Section No: 433, Contents No: 6, 6-1, 6-2.
        (To 36th Division Command - Militia Commander Ismail Hakki)

""For eight days, Armenians have been forcibly obstructing people from
 leaving their homes or going from one village to the other. Day and night
 they are rounding up male inhabitants, taking them to unknown destinations,
 after which nothing further is heard of them. (Informed from statements
 of those who succeeded in escaping wounded from the massacres around
 Taskilise ruins). Women and children are being openly murdered or are
 being gathered in the Church Square and similar places. Most inhuman and
 barbarous acts have been committed against Moslems for eight days.""


        ""Document No: 52,"" Archive No: 4/3671, Cabin No: 163, Drawer 
        No: 1, File No: 2907, Section No: 440, Contents No: 6-6, 6-7.
        (To: 1st Caucasian Army Corps Command, 2nd Caucasian Army Corps
        Command, Communications Zone Inspectorate - Commander 3rd Army
        General)

""As almost all Russian units opposite our front have been withdrawn, the
 population loyal to us in regions behind the Russian positions are
 facing an ever-increasing threat and suppression as well as cruelties
 and abuses by Armenians who have decided to systematically annihilate
 the Moslem population in regions under their occupation. I have 
 regularly informed the Russian Command of these atrocities and
 cruelties and I have gained the impression that the above authority
 seems to be failing in restoring order.""


Serdar Argic"
sci.crypt,"I sent a response to the White House at

	0005895485@MCIMAIL.COM (White House)

and received a nice, automatic reply from MICMAIL noting, in passing, that
if I had included a SNail address, I would get a reply in due course.

For those who care, my reply was:

	1.	yes, let's protect the voice network

	2.	privately-developed crypto has always been available and
		always will be -- so let's think about how to do law
		enforcement given that fact not about how to hope to
		legislate against it

	3.	my needs for crypto as a system designer are not met by the
		Clipper Chip.  I want freely to export uses of algorithms
		(like DES & RSA) which are already freely available in the
		destination country
"
rec.autos,"an excellent automatic can be found in the subaru legacy.  it switches to
""sport"" mode when the electronics figure it,  not when the driver sets
the switch.. which is the proper way to do it, IMO.  so what does ""sport""
mode entail?  several things:

1) revving to red line (or to the rev limiter in the case of the legacy)

2) delayed upshifts.  (i.e. if you lift off briefly, it will remain in the
	low gear.  this is handy if you are charging through corners and
	would like to do without the distraction of upshifts when there's
	another curve approaching)

3) part throttle downshifts, based on the *speed* at which the pedal is
	depressed, rather than the *position* of the pedal.  modern
	electronics can measure this very easily and switch to sport mode.
	this is wonderful if you want to charge through a green light about
	to turn red.  my audi senses this very well and can downshift on as
	little as half throttle if my right foot is fast enough.

also, i think that a smart automatic can deliver better gas mileage
than a dumb driver with a stick, all else being equal.. remember that
the idea of a stick being more economical than an automatic makes a
big assumption that the driver is smart enough to know what gear to
use for each situation.. how many times have you ridden with an
inattentive driver cruising on the highway at 55/65 in 4th gear (of a
5 speed)?  

how many % of people who drive manuals *really* know what the best
gear to use is for every conceivable situation?  i'm sure there will
be some who know, but i suspect that a chip controlled automatic with
all possible scenario/ratio combinations stored in ROM is likely to do
better.  i can also say that all my previous assumptions were proved
wrong after i got a car with instantaneous mpg readout... high gear,
low revs and wide open throttle is more economical than low gear, high
revs and small throttle opening.  the explanation is quite simple if
one sits down to think about it, but not that obvious at first sight.
"
rec.sport.hockey,"
No no no!!!  It's a squid!  Keep the tradition alive!  (Kinda like the
fish at UNH games....)"
comp.os.ms-windows.misc,"Sorry, I did`nt tell exactly what I need.

I need a utility for automatic updating (deleting, adding, changing) of *.ini files for Windows. 
The program should run from Dos batchfile or the program run a script under Windows.

I will use the utility for updating the win.ini (and other files) on meny PC`s.  

Do I find it on any FTP host?"
sci.space,"Archive-name: space/new_probes
Last-modified: $Date: 93/04/01 14:39:17 $

UPCOMING PLANETARY PROBES - MISSIONS AND SCHEDULES

    Information on upcoming or currently active missions not mentioned below
    would be welcome. Sources: NASA fact sheets, Cassini Mission Design
    team, ISAS/NASDA launch schedules, press kits.


    ASUKA (ASTRO-D) - ISAS (Japan) X-ray astronomy satellite, launched into
    Earth orbit on 2/20/93. Equipped with large-area wide-wavelength (1-20
    Angstrom) X-ray telescope, X-ray CCD cameras, and imaging gas
    scintillation proportional counters.


    CASSINI - Saturn orbiter and Titan atmosphere probe. Cassini is a joint
    NASA/ESA project designed to accomplish an exploration of the Saturnian
    system with its Cassini Saturn Orbiter and Huygens Titan Probe. Cassini
    is scheduled for launch aboard a Titan IV/Centaur in October of 1997.
    After gravity assists of Venus, Earth and Jupiter in a VVEJGA
    trajectory, the spacecraft will arrive at Saturn in June of 2004. Upon
    arrival, the Cassini spacecraft performs several maneuvers to achieve an
    orbit around Saturn. Near the end of this initial orbit, the Huygens
    Probe separates from the Orbiter and descends through the atmosphere of
    Titan. The Orbiter relays the Probe data to Earth for about 3 hours
    while the Probe enters and traverses the cloudy atmosphere to the
    surface. After the completion of the Probe mission, the Orbiter
    continues touring the Saturnian system for three and a half years. Titan
    synchronous orbit trajectories will allow about 35 flybys of Titan and
    targeted flybys of Iapetus, Dione and Enceladus. The objectives of the
    mission are threefold: conduct detailed studies of Saturn's atmosphere,
    rings and magnetosphere; conduct close-up studies of Saturn's
    satellites, and characterize Titan's atmosphere and surface.

    One of the most intriguing aspects of Titan is the possibility that its
    surface may be covered in part with lakes of liquid hydrocarbons that
    result from photochemical processes in its upper atmosphere. These
    hydrocarbons condense to form a global smog layer and eventually rain
    down onto the surface. The Cassini orbiter will use onboard radar to
    peer through Titan's clouds and determine if there is liquid on the
    surface. Experiments aboard both the orbiter and the entry probe will
    investigate the chemical processes that produce this unique atmosphere.

    The Cassini mission is named for Jean Dominique Cassini (1625-1712), the
    first director of the Paris Observatory, who discovered several of
    Saturn's satellites and the major division in its rings. The Titan
    atmospheric entry probe is named for the Dutch physicist Christiaan
    Huygens (1629-1695), who discovered Titan and first described the true
    nature of Saturn's rings.

	 Key Scheduled Dates for the Cassini Mission (VVEJGA Trajectory)
	 -------------------------------------------------------------
	   10/06/97 - Titan IV/Centaur Launch
	   04/21/98 - Venus 1 Gravity Assist
	   06/20/99 - Venus 2 Gravity Assist
	   08/16/99 - Earth Gravity Assist
	   12/30/00 - Jupiter Gravity Assist
	   06/25/04 - Saturn Arrival
	   01/09/05 - Titan Probe Release
	   01/30/05 - Titan Probe Entry
	   06/25/08 - End of Primary Mission
	    (Schedule last updated 7/22/92)


    GALILEO - Jupiter orbiter and atmosphere probe, in transit. Has returned
    the first resolved images of an asteroid, Gaspra, while in transit to
    Jupiter. Efforts to unfurl the stuck High-Gain Antenna (HGA) have
    essentially been abandoned. JPL has developed a backup plan using data
    compression (JPEG-like for images, lossless compression for data from
    the other instruments) which should allow the mission to achieve
    approximately 70% of its original objectives.

	   Galileo Schedule
	   ----------------
	   10/18/89 - Launch from Space Shuttle
	   02/09/90 - Venus Flyby
	   10/**/90 - Venus Data Playback
	   12/08/90 - 1st Earth Flyby
	   05/01/91 - High Gain Antenna Unfurled
	   07/91 - 06/92 - 1st Asteroid Belt Passage
	   10/29/91 - Asteroid Gaspra Flyby
	   12/08/92 - 2nd Earth Flyby
	   05/93 - 11/93 - 2nd Asteroid Belt Passage
	   08/28/93 - Asteroid Ida Flyby
	   07/02/95 - Probe Separation
	   07/09/95 - Orbiter Deflection Maneuver
	   12/95 - 10/97 - Orbital Tour of Jovian Moons
	   12/07/95 - Jupiter/Io Encounter
	   07/18/96 - Ganymede
	   09/28/96 - Ganymede
	   12/12/96 - Callisto
	   01/23/97 - Europa
	   02/28/97 - Ganymede
	   04/22/97 - Europa
	   05/31/97 - Europa
	   10/05/97 - Jupiter Magnetotail Exploration


    HITEN - Japanese (ISAS) lunar probe launched 1/24/90. Has made
    multiple lunar flybys. Released Hagoromo, a smaller satellite,
    into lunar orbit. This mission made Japan the third nation to
    orbit a satellite around the Moon.


    MAGELLAN - Venus radar mapping mission. Has mapped almost the entire
    surface at high resolution. Currently (4/93) collecting a global gravity
    map.


    MARS OBSERVER - Mars orbiter including 1.5 m/pixel resolution camera.
    Launched 9/25/92 on a Titan III/TOS booster. MO is currently (4/93) in
    transit to Mars, arriving on 8/24/93. Operations will start 11/93 for
    one martian year (687 days).


    TOPEX/Poseidon - Joint US/French Earth observing satellite, launched
    8/10/92 on an Ariane 4 booster. The primary objective of the
    TOPEX/POSEIDON project is to make precise and accurate global
    observations of the sea level for several years, substantially
    increasing understanding of global ocean dynamics. The satellite also
    will increase understanding of how heat is transported in the ocean.


    ULYSSES- European Space Agency probe to study the Sun from an orbit over
    its poles. Launched in late 1990, it carries particles-and-fields
    experiments (such as magnetometer, ion and electron collectors for
    various energy ranges, plasma wave radio receivers, etc.) but no camera.

    Since no human-built rocket is hefty enough to send Ulysses far out of
    the ecliptic plane, it went to Jupiter instead, and stole energy from
    that planet by sliding over Jupiter's north pole in a gravity-assist
    manuver in February 1992. This bent its path into a solar orbit tilted
    about 85 degrees to the ecliptic. It will pass over the Sun's south pole
    in the summer of 1993. Its aphelion is 5.2 AU, and, surprisingly, its
    perihelion is about 1.5 AU-- that's right, a solar-studies spacecraft
    that's always further from the Sun than the Earth is!

    While in Jupiter's neigborhood, Ulysses studied the magnetic and
    radiation environment. For a short summary of these results, see
    *Science*, V. 257, p. 1487-1489 (11 September 1992). For gory technical
    detail, see the many articles in the same issue.


    OTHER SPACE SCIENCE MISSIONS (note: this is based on a posting by Ron
    Baalke in 11/89, with ISAS/NASDA information contributed by Yoshiro
    Yamada (yamada@yscvax.ysc.go.jp). I'm attempting to track changes based
    on updated shuttle manifests; corrections and updates are welcome.

    1993 Missions
	o ALEXIS [spring, Pegasus]
	    ALEXIS (Array of Low-Energy X-ray Imaging Sensors) is to perform
	    a wide-field sky survey in the ""soft"" (low-energy) X-ray
	    spectrum. It will scan the entire sky every six months to search
	    for variations in soft-X-ray emission from sources such as white
	    dwarfs, cataclysmic variable stars and flare stars. It will also
	    search nearby space for such exotic objects as isolated neutron
	    stars and gamma-ray bursters. ALEXIS is a project of Los Alamos
	    National Laboratory and is primarily a technology development
	    mission that uses astrophysical sources to demonstrate the
	    technology. Contact project investigator Jeffrey J Bloch
	    (jjb@beta.lanl.gov) for more information.

	o Wind [Aug, Delta II rocket]
	    Satellite to measure solar wind input to magnetosphere.

	o Space Radar Lab [Sep, STS-60 SRL-01]
	    Gather radar images of Earth's surface.

	o Total Ozone Mapping Spectrometer [Dec, Pegasus rocket]
	    Study of Stratospheric ozone.

	o SFU (Space Flyer Unit) [ISAS]
	    Conducting space experiments and observations and this can be
	    recovered after it conducts the various scientific and
	    engineering experiments. SFU is to be launched by ISAS and
	    retrieved by the U.S. Space Shuttle on STS-68 in 1994.

    1994
	o Polar Auroral Plasma Physics [May, Delta II rocket]
	    June, measure solar wind and ions and gases surrounding the
	    Earth.

	o IML-2 (STS) [NASDA, Jul 1994 IML-02]
	    International Microgravity Laboratory.

	o ADEOS [NASDA]
	    Advanced Earth Observing Satellite.

	o MUSES-B (Mu Space Engineering Satellite-B) [ISAS]
	    Conducting research on the precise mechanism of space structure
	    and in-space astronomical observations of electromagnetic waves.

    1995
	LUNAR-A [ISAS]
	    Elucidating the crust structure and thermal construction of the
	    moon's interior.


    Proposed Missions:
	o Advanced X-ray Astronomy Facility (AXAF)
	    Possible launch from shuttle in 1995, AXAF is a space
	    observatory with a high resolution telescope. It would orbit for
	    15 years and study the mysteries and fate of the universe.

	o Earth Observing System (EOS)
	    Possible launch in 1997, 1 of 6 US orbiting space platforms to
	    provide long-term data (15 years) of Earth systems science
	    including planetary evolution.

	o Mercury Observer
	    Possible 1997 launch.

	o Lunar Observer
	    Possible 1997 launch, would be sent into a long-term lunar
	    orbit. The Observer, from 60 miles above the moon's poles, would
	    survey characteristics to provide a global context for the
	    results from the Apollo program.

	o Space Infrared Telescope Facility
	    Possible launch by shuttle in 1999, this is the 4th element of
	    the Great Observatories program. A free-flying observatory with
	    a lifetime of 5 to 10 years, it would observe new comets and
	    other primitive bodies in the outer solar system, study cosmic
	    birth formation of galaxies, stars and planets and distant
	    infrared-emitting galaxies

	o Mars Rover Sample Return (MRSR)
	    Robotics rover would return samples of Mars' atmosphere and
	    surface to Earch for analysis. Possible launch dates: 1996 for
	    imaging orbiter, 2001 for rover.

	o Fire and Ice
	    Possible launch in 2001, will use a gravity assist flyby of
	    Earth in 2003, and use a final gravity assist from Jupiter in
	    2005, where the probe will split into its Fire and Ice
	    components: The Fire probe will journey into the Sun, taking
	    measurements of our star's upper atmosphere until it is
	    vaporized by the intense heat. The Ice probe will head out
	    towards Pluto, reaching the tiny world for study by 2016.
"
sci.electronics,"Hello netters:)  Does anyone out there know any FTP sites for projects,
plans, etc of an electrical nature?  

-Jason"
comp.windows.x,": Does anyone know what is available in terms of automated testing
: of X/Motif applications. I am thinking of a system which I could
: program (or which could record events/output) with our verification
: test procedures and then run/rerun each time we do regression
: testing. I am interested in a product like this for our UNIX
: projects and for a separate project which will be using OpenVMS.

A question like this is answered in the FAQ, about sharing X windows.
One of the answers is XTrap, a record and playback extenstion to X.  You
can find it at export.lcs.mit.edu:/contrib/XTrapV33_X11R5.tar.Z.

Does anyone know of a program which doesn't require an X extension?  Most
the the X servers we have at work have vendor extensions which we can't
modify, so XTrap doesn't help up.  There is X conferencing software at
mit, but I don't know how easy it would be to modify it to do record and
playback.

Any help would be appreciated."
comp.sys.mac.hardware,"I notice the Toshiba 3401 has 3 versions, B - internal, E - external and P -
portable.  Can anyone tell me the difference between the portable and the
external version?  Where in the SF Bay Area can I find a model P?

Thanks,  --Bill"
misc.forsale,"Hey now,

The following cds are still available. Offers/trades considered.

Gowan - Lost Brotherhood
Katrina & the Waves - Break of Hearts
Joe Cocker - Live
Charles Neville - Diversity"
rec.autos,": Ford and his automobile.  I need information on whether Ford is
: partially responsible for all of the car accidents and the depletion of
: the ozone layer.  Also, any other additional information will be greatly
: appreciated.  Thanks. 
: 
SSSSSoooooooooooo!!!!! Its all HIS fault!! Thank God Louis Chevrolet is 
innocent! and that guy Diesel, HE otto feel guilty!

"
alt.atheism,"[deletions...]



First of all, infinity is a mathematical concept created by humans
to explain certain things in a certain way. We don't know if it actually
applies to reality, we don't know if anything in the world is infinite.


You don't know if the universe is actually continuous. Continuum is another
mathematical concept (based on infinity) used to explain things in a certain
way.


I have a pretty good idea of what infinity is. It's a man-made concept, and
like many man-made concepts, it has evolved through time. Ancient Greeks had
a different understanding of it.


Precicely. We don't even know if infinity applies to reality.
"
